"Country","Year","Number of physicians","Number of nursing and midwifery personnel","Number of dentistry personnel","Number of pharmaceutical personnel","Number of laboratory health workers","Number of environment and public health workers","Number of community and traditional health workers","Number of other health workers","Number of health management &amp; support workers"
"Afghanistan"," 2013","9184","","124","1607","","","","16382",""
"Afghanistan"," 2012","7521","","109","845","","","","13528",""
"Afghanistan"," 2011","7584","","104","836","","","","12233",""
"Afghanistan"," 2010","6901","","103","814","","","","12163",""
"Afghanistan"," 2009","6037","17257","107","847","","","","12344",""
"Afghanistan"," 2008","4834","13780","382","829","","","","12113",""
"Afghanistan"," 2007","4723","13430","311","830","","","","",""
"Afghanistan"," 2006","4220","11631","337","830","","","","",""
"Afghanistan"," 2005","","14930","900","900","","","","",""
"Afghanistan"," 2001","4104","4752","630","525","","","","",""
"Albania"," 2013","3709","12455","","2441","","","","",""
"Albania"," 2012","3696","12878","","","","","","",""
"Albania"," 2011","3578","","","1388","","","","",""
"Albania"," 2010","3640","","","1324","","","","",""
"Albania"," 2009","3656","12455","","1206","","","","",""
"Algeria"," 2007","40857","65919","11010","8232","9888","2429","993","112252","948"
"Algeria"," 2005","33952","","9022","6104","","","","99158","61593"
"Algeria"," 2002","35368","69749","9553","6333","8838","2534","1062","5654","60316"
"Andorra"," 2010","272","324","59","78","19","","","233",""
"Andorra"," 2003","244","215","44","68","","","","",""
"Angola"," 2009","2956","29592","","","","","","5435",""
"Angola"," 2004","1165","18485","222","919","2029","","","254","256"
"Angola"," 1997","881","13627","2","24","","","","",""
"Antigua and Barbuda"," 1999","12","233","","","","","","",""
"Antigua and Barbuda"," 1997","","","13","","","","","",""
"Argentina"," 2013","160041","","","","","","","",""
"Argentina"," 2004","122623","18685","35592","19510","19629","","","79533",""
"Argentina"," 2001","121076","16600","35944","21177","19774","","","71417",""
"Argentina"," 1998","108800","29000","28900","15300","","","","",""
"Argentina"," 1994","","74000","","","","","","",""
"Argentina"," 1992","88800","69000","21900","10500","7500","1000","","106500","95000"
"Argentina"," 1989","","22400","","","","","","",""
"Argentina"," 1988","","38938","","","","","","",""
"Argentina"," 1979","","40836","","","","","","",""
"Argentina"," 1969","","22976","","","","","","",""
"Armenia"," 2013","8412","15070","1215","148","","","","5236",""
"Armenia"," 2012","8355","15254","1290","125","","","","5249",""
"Armenia"," 2011","8249","15242","1297","121","","","","5222",""
"Armenia"," 2010","8177","15076","1257","123","","","","5082",""
"Armenia"," 2009","7994","14960","1245","110","","","","5024",""
"Australia"," 2012","","","","23294","","","","14566",""
"Australia"," 2011","73980","240716","12154","24636","","","","16870",""
"Australia"," 2010","81639","","","19237","","","","20365",""
"Australia"," 2009","62800","201300","14500","21800","","","","96800",""
"Australia"," 2006","55065","222133","29624","15339","10477","","1012","212780","1954"
"Australia"," 2001","47875","187837","21296","13956","8326","","3812","38339","488313"
"Australia"," 1996","46043","189289","23318","12311","6513","","708","122141",""
"Austria"," 2003","27413","76161","4037","4869","","","","",""
"Azerbaijan"," 2013","32434","62336","2452","1951","","","","320",""
"Azerbaijan"," 2012","32335","63002","2461","1668","","","","328",""
"Azerbaijan"," 2011","31441","63653","2401","1657","","","","324",""
"Azerbaijan"," 2010","33085","66401","2467","1831","","","","315",""
"Azerbaijan"," 2009","32798","72356","2457","1652","","","","304",""
"Bahamas"," 2008","947","1391","115","160","171","","","143",""
"Bahamas"," 1998","312","1323","21","","","","","",""
"Bahrain"," 2012","1244","3224","330","205","420","","","345",""
"Bahrain"," 2011","1208","3192","308","193","422","","","351",""
"Bahrain"," 2010","1178","3052","294","196","430","","","350",""
"Bahrain"," 2009","1149","2990","277","186","380","","","321",""
"Bahrain"," 2008","1103","2856","273","186","380","","","303",""
"Bahrain"," 2007","1052","4354","114","180","","","","",""
"Bahrain"," 2006","972","2605","253","172","360","","","220",""
"Bahrain"," 2005","928","2389","243","164","317","","","209",""
"Bahrain"," 2004","803","3549","342","460","479","294","","1401","2061"
"Bahrain"," 2003","816","2200","129","139","299","","","90",""
"Bahrain"," 2002","792","2111","130","134","292","","","83",""
"Bahrain"," 2001","742","2166","116","135","290","","","74",""
"Bahrain"," 2000","678","1981","102","127","272","","","71",""
"Bangladesh"," 2011","53603","32839","4165","","","5603","50221","7911",""
"Bangladesh"," 2007","43315","39992","2742","9411","3794","","48692","",""
"Bangladesh"," 2006","44632","40040","","","","","","",""
"Bangladesh"," 2005","42881","39471","2344","","1985","6091","21000","6548",""
"Bangladesh"," 2004","38485","46794","2537","9411","3794","5743","46202","5847",""
"Bangladesh"," 2003","36576","37122","","","","","","",""
"Bangladesh"," 2002","","","1886","7622","3676","1041","","581",""
"Bangladesh"," 2001","32498","","","","","","","",""
"Barbados"," 2005","489","1311","94","251","14","194","","115","6"
"Barbados"," 2001","420","1580","62","185","71","194","","131","6"
"Barbados"," 2000","365","","","","","244","","2119",""
"Barbados"," 1995","358","1360","61","169","79","177","","33","6"
"Belarus"," 2013","37281","101041","5196","3264","","","","",""
"Belarus"," 2012","36759","102790","5194","3229","","","","",""
"Belarus"," 2011","35936","99838","5123","3098","","","","",""
"Belarus"," 2010","33325","99995","5087","2731","","","","",""
"Belarus"," 2009","35304","99062","5182","3053","","","","",""
"Belgium"," 2013","","181314","8095","27681","","","","146845","59"
"Belgium"," 2012","","175663","7997","26577","","","","125355","58"
"Belgium"," 2011","","160342","7878","21113","","","","109963","57"
"Belgium"," 2010","39690","165650","8313","16368","","","","94837",""
"Belgium"," 2009","","153219","7645","","","","","85981","58"
"Belgium"," 2008","","","7757","","","","","74295","59"
"Belgium"," 2007","","","7841","","","","","67159","57"
"Belgium"," 2006","22256","","7866","","","","","25667",""
"Belgium"," 2005","21599","","7731","","","","","25109",""
"Belgium"," 2003","","60142","","","","","","",""
"Belgium"," 2002","","","","11775","","","","",""
"Belize"," 2009","241","570","12","112","","60","158","126",""
"Belize"," 2000","251","303","32","","","","","",""
"Benin"," 2008","542","7129","37","20","245","217","","100","6085"
"Benin"," 2004","311","5789","12","11","477","178","88","130","3279"
"Bhutan"," 2012","194","736","","11","27","","641","864","1807"
"Bhutan"," 2008","171","666","","89","10","38","54","957","1429"
"Bhutan"," 2007","144","545","65","87","167","80","466","187","1250"
"Bhutan"," 2004","118","515","58","79","136","71","464","143","1197"
"Bolivia (Plurinational State of)"," 2011","4771","10139","1130","660","792","76","","1747","9269"
"Bolivia (Plurinational State of)"," 2010","4406","8366","976","567","667","47","","1300","4349"
"Bolivia (Plurinational State of)"," 2007","3170","5815","598","331","442","36","","847","3015"
"Bolivia (Plurinational State of)"," 2001","10329","18091","5997","4670","540","","1006","4978","8107"
"Bosnia and Herzegovina"," 2013","7211","20903","809","429","","","","386",""
"Bosnia and Herzegovina"," 2012","7026","21241","875","422","","","","377",""
"Bosnia and Herzegovina"," 2011","6881","20534","808","392","","","","335",""
"Bosnia and Herzegovina"," 2010","6665","20331","797","371","","","","315",""
"Bosnia and Herzegovina"," 2009","6493","19836","680","364","","","","294",""
"Botswana"," 2009","693","5816","145","365","461","5","166","3129","7200"
"Botswana"," 2008","665","5616","98","239","372","4","450","2867","6467"
"Botswana"," 2006","591","5006","","","","","920","",""
"Botswana"," 2005","466","4468","","","","","920","",""
"Botswana"," 2004","715","4753","38","333","277","172","","829",""
"Botswana"," 2003","526","4450","","","","","867","",""
"Botswana"," 2002","536","4146","","","","","862","",""
"Botswana"," 2001","510","3994","","","","","821","",""
"Botswana"," 2000","499","4319","","","","","1269","",""
"Botswana"," 1999","507","4992","","","","","775","",""
"Botswana"," 1998","424","4265","","","","","742","",""
"Brazil"," 2013","378354","1520533","","","","","","",""
"Brazil"," 2011","365231","","","","","","","",""
"Brazil"," 2010","355006","1446403","242266","142841","","","","70955",""
"Brazil"," 2009","352318","","231399","","","","","63331",""
"Brazil"," 2008","341849","1243804","227141","104098","","","","214858",""
"Brazil"," 2007","329041","1243804","219827","104098","","","","37660",""
"Brazil"," 2006","320013","710748","217217","104098","","","","37374",""
"Brazil"," 2005","310138","703813","207904","99696","","","","29119",""
"Brazil"," 2004","292014","686089","178025","","","","","27644",""
"Brazil"," 2003","268169","665342","170953","","","","","27356",""
"Brazil"," 2002","254604","606291","163192","","","","","25331",""
"Brazil"," 2001","246219","529765","154426","66727","","","","26590",""
"Brazil"," 2000","198153","659111","190448","51317","89677","167080","","191518","839376"
"Brazil"," 1999","236668","438004","145441","","","","","26427",""
"Brazil"," 1998","216632","386158","138311","","","","","25426",""
"Brazil"," 1997","215875","343691","102714","56117","","","","23549",""
"Brazil"," 1996","206675","303618","","","","","","",""
"Brazil"," 1995","198479","255376","","","","","","",""
"Brazil"," 1994","190554","225860","","","","","","",""
"Brazil"," 1993","183068","198293","","","","","","",""
"Brazil"," 1992","175848","176648","","","","","","",""
"Brazil"," 1991","150879","481746","101326","22698","20815","","","161817",""
"Brazil"," 1990","161880","141480","","","","","","",""
"Brunei Darussalam"," 2012","596","3323","174","167","292","48","","182",""
"Brunei Darussalam"," 2011","608","3138","95","48","322","","","117",""
"Brunei Darussalam"," 2010","563","2907","86","43","","","","",""
"Brunei Darussalam"," 2009","445","1966","72","42","","","","",""
"Brunei Darussalam"," 2008","564","1941","82","45","","","","",""
"Brunei Darussalam"," 2007","393","1915","81","42","","","","27",""
"Brunei Darussalam"," 2006","399","1970","75","41","","","","",""
"Brunei Darussalam"," 2005","390","2006","73","41","","","","",""
"Brunei Darussalam"," 2004","463","1925","68","41","","","","",""
"Brunei Darussalam"," 2002","400","2120","70","30","","","","",""
"Brunei Darussalam"," 2000","336","1296","48","90","","","","",""
"Bulgaria"," 2012","28599","35350","6750","","","","","",""
"Bulgaria"," 2010","27997","","6355","","","","","",""
"Bulgaria"," 2001","","","","1020","","","","",""
"Burkina Faso"," 2010","713","8645","32","339","584","","1976","2618",""
"Burkina Faso"," 2008","921","10539","","347","510","","","",""
"Burkina Faso"," 2006","384","5785","28","","353","36","1238","1577","128"
"Burkina Faso"," 2004","708","6557","58","343","418","46","1291","1870","210"
"Burundi"," 2011","","","","172","","","","",""
"Burundi"," 2004","200","1348","14","76","147","","657","1186","2087"
"Cote d'Ivoire"," 2008","2746","9231","274","413","","1419","","3140","2561"
"Cote d'Ivoire"," 2005","1698","8988","204","128","","","","4239","2420"
"Cote d'Ivoire"," 2004","2081","10180","339","1015","1165","155","","172","2107"
"Cabo Verde"," 2011","153","279","3","5","52","1","","34","16"
"Cabo Verde"," 2010","167","257","4","4","62","","","25","2"
"Cabo Verde"," 2009","130","254","3","4","49","","","28","2"
"Cabo Verde"," 2008","139","244","3","3","53","","","33","2"
"Cabo Verde"," 2007","136","252","3","3","48","","","26","2"
"Cabo Verde"," 2006","121","252","3","4","47","","","29","2"
"Cabo Verde"," 2004","231","410","11","43","78","9","65","42","74"
"Cambodia"," 2012","2440","11454","284","566","553","","","901","1015"
"Cambodia"," 2011","3291","12699","292","","","","","663",""
"Cambodia"," 2010","3294","12251","242","548","","","","659",""
"Cambodia"," 2009","3351","12042","245","547","","","","518",""
"Cambodia"," 2008","3393","11736","258","569","","","","518",""
"Cambodia"," 2004","","","","","","","1638","",""
"Cambodia"," 2000","2047","11125","209","564","","","","",""
"Cambodia"," 1998","1711","11689","211","616","609","","","1757",""
"Cambodia"," 1996","1247","11630","189","496","521","","","1511",""
"Cameroon"," 2009","1346","7626","32","27","","","","8047","22"
"Cameroon"," 2007","1319","8226","39","38","","","","6154","11"
"Cameroon"," 2005","1049","6705","26","27","","","","2499","11"
"Cameroon"," 2004","3124","26042","147","700","1793","28","","16","5902"
"Canada"," 2012","","","","35555","","","","",""
"Canada"," 2011","","319026","","","","","","17653",""
"Canada"," 2010","69648","318565","","25597","18498","","","16885",""
"Canada"," 2009","","350547","","30553","37834","","","30434",""
"Canada"," 2008","65440","343699","41798","29010","37667","1245","","107678","3929"
"Canada"," 2007","","334187","","28495","19813","","","28716",""
"Canada"," 2006","62307","327224","38310","27078","36627","1375","","110390","3216"
"Canada"," 2005","","321159","","","20103","","","",""
"Canada"," 2004","60612","316512","35834","28537","35379","1205","","103097","2461"
"Canada"," 2003","","309576","","20765","19092","","","",""
"Canada"," 2002","59412","296630","34095","26346","33306","1131","","91893","2406"
"Canada"," 2001","58546","310604","33184","25643","32805","1081","","87757","2412"
"Canada"," 2000","","","","","17789","","","",""
"Canada"," 1998","56163","307352","30699","23164","31951","","","70415","2835"
"Central African Republic"," 2009","205","1097","12","12","40","227","1713","287","37"
"Central African Republic"," 2008","173","835","5","10","32","84","1746","291","33"
"Central African Republic"," 2004","331","1613","13","17","48","55","211","461","167"
"Chad"," 2006","368","1891","","","","","","",""
"Chad"," 2004","345","2499","15","37","317","230","268","153","1502"
"Chad"," 2000","235","1041","","","","","","",""
"Chad"," 1999","232","480","","","","","","",""
"Chad"," 1998","156","436","","","","","","",""
"Chad"," 1997","195","359","","","","","","",""
"Chile"," 2009","17382","2443","15","39","29","","","10218",""
"Chile"," 2008","17358","2444","14","39","29","","","10213",""
"Chile"," 2007","17134","2328","14","39","29","","","8243",""
"Chile"," 2006","17016","2330","14","38","29","","","8119",""
"Chile"," 2005","15865","2103","12","36","28","","","6253",""
"Chile"," 2004","15762","2087","12","36","29","","","6119",""
"Chile"," 2003","15003","2057","13","36","31","","","5394",""
"Chile"," 2002","13992","1784","9","35","31","","","4160",""
"Chile"," 1992","13650","61620","10560","5090","","350","280","40280",""
"China"," 2011","2020154","2244020","","363993","","","1126443","2466094","980758"
"China"," 2010","1972840","2048071","","353916","230572","","1091863","730580","949320"
"China"," 2009","1905436","1854818","","341910","220695","","1113331","1487271","920327"
"China"," 2008","","1678091","","330525","","","938313","2201904","883863"
"China"," 2007","","1558822","","325212","","","931761","2122925","875982"
"China"," 2006","","1426339","","353565","","","957459","2099064","759909"
"China"," 2005","","1349589","51012","349533","","","916532","2042135","740967"
"China"," 2004","","1308433","","355451","","","883075","1999457","754259"
"China"," 2003","","1265959","","","","","867778","","450292"
"China"," 2002","1463573","1246545","","357659","","","","1843995","788338"
"China"," 2001","1364000","1400000","136520","359000","203000","","109000","1061000","1077000"
"China"," 2000","1603266","1266838","","414408","","","1319357","2075843","942690"
"China"," 1999","1561584","1244844","","418574","","","1324937","2044672","961338"
"China"," 1998","1513975","1218836","","423644","","","1327633","1999521","966901"
"China"," 1997","1505342","1198228","","428295","","","1317786","1984867","985002"
"China"," 1996","1475232","1162609","","424952","","","1316095","1941235","981677"
"China"," 1995","1454926","1125661","","418520","","","1331017","2038554","995673"
"China"," 1990","1302997","974541","","405978","","","1231510","1763086","922776"
"China"," 1985","724238","636974","","365145","","","1293094","1413281","856049"
"China"," 1980","709473","465798","","308438","","","3820776","1153234","708632"
"China"," 1978","609608","405223","","266570","","","4777469","978152","618691"
"Colombia"," 2010","71980","30119","44858","","","","","",""
"Colombia"," 2009","70115","29246","43325","","","","","",""
"Colombia"," 2008","68278","28382","41809","","","","","",""
"Colombia"," 2007","66447","27527","40311","","","","","",""
"Colombia"," 2006","64624","26681","38832","","","","","",""
"Colombia"," 2005","62807","25845","37371","","","","","",""
"Colombia"," 2004","","25019","35928","","","","","",""
"Colombia"," 2003","","24202","34504","","","","","",""
"Colombia"," 2002","58761","23940","33951","","","","","",""
"Colombia"," 2001","","22598","31712","","","","","",""
"Colombia"," 2000","","","30344","","","","","",""
"Colombia"," 1999","51776","20944","28892","","","","","",""
"Colombia"," 1998","49737","19992","27523","","","","","",""
"Colombia"," 1997","47651","18800","26115","","","","","",""
"Colombia"," 1996","45627","18181","24486","","","","","",""
"Colombia"," 1995","","17461","22991","","","","","",""
"Colombia"," 1994","41991","16738","21637","","","","","",""
"Colombia"," 1993","40245","16005","20606","","","","","",""
"Colombia"," 1992","38062","15344","19492","","","","","",""
"Colombia"," 1991","35826","14693","18192","","","","","",""
"Colombia"," 1990","33582","14019","16795","","","","","",""
"Colombia"," 1989","31646","13127","15655","","","","","",""
"Colombia"," 1988","29492","12281","14188","","","","","",""
"Colombia"," 1987","27688","11389","12773","","","","","",""
"Colombia"," 1986","25641","10815","11628","","","","","",""
"Colombia"," 1985","23481","10131","10575","","","","","",""
"Colombia"," 1984","21709","9345","9635","","","","","",""
"Colombia"," 1966","","","2300","","","","","",""
"Comoros"," 2004","115","588","29","41","63","17","41","10","271"
"Congo"," 2007","401","3492","","63","365","19","","313","2617"
"Congo"," 2006","782","5251","","111","516","1027","","2662","1036"
"Congo"," 2004","756","3672","12","99","554","9","124","957","987"
"Congo"," 1998","2155","27162","100","254","428","","","431","522"
"Cook Islands"," 2009","24","116","19","8","9","23","9","74","18"
"Cook Islands"," 2004","20","80","10","2","","","","",""
"Cook Islands"," 2001","14","52","10","2","","","","",""
"Costa Rica"," 2013","5411","3745","599","891","624","","","237","638"
"Costa Rica"," 2011","","","","3779","","","","",""
"Costa Rica"," 2000","5204","3653","1905","2101","","1266","","12450","18406"
"Croatia"," 2012","","","","3070","","","","",""
"Croatia"," 1999","8046","","","1502","","","","",""
"Croatia"," 1998","8600","","","1550","","","","",""
"Croatia"," 1997","9315","","","1611","","","","",""
"Croatia"," 1996","9423","","","1588","","","","",""
"Croatia"," 1995","9090","","","1544","","","","",""
"Croatia"," 1994","9138","","","1598","","","","",""
"Croatia"," 1993","9280","","","1701","","","","",""
"Croatia"," 1992","9446","","","1747","","","","",""
"Croatia"," 1991","9303","","","1729","","","","",""
"Croatia"," 1990","10152","","","1857","","","","",""
"Croatia"," 1989","10173","","","1886","","","","",""
"Croatia"," 1988","9955","","","1888","","","","",""
"Croatia"," 1987","9792","","","1850","","","","",""
"Croatia"," 1986","9522","","","1820","","","","",""
"Cuba"," 2010","76506","103014","12144","4656","10068","2794","","60763","2153"
"Cuba"," 2009","74880","","11572","","","","","",""
"Cuba"," 2008","74552","","11234","","","","","",""
"Cuba"," 2007","72416","97800","10887","7047","10796","3419","","96433",""
"Cuba"," 2006","71489","","10751","","","","","",""
"Cuba"," 2005","70594","","10554","","","","","",""
"Cuba"," 2004","69713","","10452","","","","","",""
"Cuba"," 2003","68017","","10167","","","","","",""
"Cuba"," 2002","67079","83880","9955","","","","","",""
"Cuba"," 2001","66325","","9877","","","","","",""
"Cuba"," 2000","65997","","9917","","","","","",""
"Cuba"," 1999","64863","","9918","","","","","",""
"Cuba"," 1998","63483","","9873","","","","","",""
"Cuba"," 1997","62624","","9816","","","","","",""
"Cuba"," 1996","60129","","9600","","","","","",""
"Cuba"," 1995","56836","","9148","","","","","",""
"Cuba"," 1994","54065","","8834","","","","","",""
"Cuba"," 1993","51045","","8531","","","","","",""
"Cuba"," 1992","46860","","8057","","","","","",""
"Cuba"," 1991","42634","","7515","","","","","",""
"Cuba"," 1990","38690","","6959","","","","","",""
"Cuba"," 1985","22910","","5335","","","","","",""
"Cuba"," 1980","15247","","3646","","","","","",""
"Cuba"," 1975","9328","","2319","","","","","",""
"Cyprus"," 2012","2630","","816","195","","","","",""
"Cyprus"," 2010","2442","3930","772","","","","","1031",""
"Cyprus"," 2009","2313","3806","757","","","","","1032",""
"Cyprus"," 2008","2218","3710","792","210","449","95","","210","6"
"Cyprus"," 2007","2143","3612","723","","","","","",""
"Cyprus"," 2006","","","","","365","88","","185","5"
"Cyprus"," 2002","","2994","","144","","","","",""
"Cyprus"," 2000","","","","","","","","556",""
"Cyprus"," 1995","1607","2821","543","","","","","544",""
"Cyprus"," 1990","1199","2478","428","","","","","451",""
"Cyprus"," 1985","846","2155","301","","","","","359",""
"Cyprus"," 1980","560","1707","182","","","","","324",""
"Cyprus"," 1976","478","1445","161","","","","","319",""
"Cyprus"," 1970","512","1252","176","","","","","",""
"Cyprus"," 1965","448","927","173","","","","","",""
